"Delete Feature","Delete Feature"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save and Continue Edit","Save and Continue Edit"
"Save Feature","Save Feature"
"Delete Poll","Delete Poll"
"Save Poll","Save Poll"
"Choose Item","Choose Item"
"poll ID","poll ID"
"votes count","votes count"
"clear votes.","clear votes."
"Wrong parameters.","Wrong parameters."
"It is not an ajax.","It is not an ajax."
"CSRF attack possible.","CSRF attack possible."
"Form is broken.","Form is broken."
"This feature no longer exists.","This feature no longer exists."
"The feature successfully deleted [ID: %1].","The feature successfully deleted [ID: %1]."
"Edit Feature","Edit Feature"
"Features","Features"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"New Feature","New Feature"
"You saved the feature [ID: %1].","You saved the feature [ID: %1]."
"Jaroslaw Zielinski FeaturePoll","Jaroslaw Zielinski FeaturePoll"
"This poll no longer exists.","This poll no longer exists."
"The poll successfully deleted [ID: %1].","The poll successfully deleted [ID: %1]."
"Edit Poll","Edit Poll"
"Polls","Polls"
"New Poll","New Poll"
"You saved the poll [ID: %1].","You saved the poll [ID: %1]."
"This voter no longer exists.","This voter no longer exists."
"The voter successfully deleted [ID: %1].","The voter successfully deleted [ID: %1]."
"Voters","Voters"
"A total of %1 record(s) added to the chart.","A total of %1 record(s) added to the chart."
"Graphic data has been cleared.","Graphic data has been cleared."
"Clearing graphic data","Clearing graphic data"
"Votes","Votes"
"A total of %1 record(s) have been marked as fraud.","A total of %1 record(s) have been marked as fraud."
"A total of %1 record(s) have been marked as not fraud.","A total of %1 record(s) have been marked as not fraud."
"Votes Reports","Votes Reports"
"It is not an ajax call.","It is not an ajax call."
"Possibly it is a CSRF attack.","Possibly it is a CSRF attack."
"Thank you for your precious vote!","Thank you for your precious vote!"
"<div class=""alert alert-success"" role=""alert"">%1</div>","<div class=""alert alert-success"" role=""alert"">%1</div>"
"Error happened [%1]","Error happened [%1]"
"<div class=""alert alert-danger"" role=""alert"">%1</div>","<div class=""alert alert-danger"" role=""alert"">%1</div>"
"Feature you vote for is required.","Feature you vote for is required."
"Name is required.","Name is required."
"Email '%1' of a voter is invalid.","Email '%1' of a voter is invalid."
"Rules and Regulations must be read and accepted.","Rules and Regulations must be read and accepted."
"TemplateID is required.","TemplateID is required."
"Could not save the Feature: %1","Could not save the Feature: %1"
"Feature with id ""%1"" does not exist.","Feature with id ""%1"" does not exist."
